Processes: 406 total, 2 running, 404 sleeping, 1604 threads 
2018/10/10 16:34:20
Load Avg: 2.02, 2.24, 2.00 
CPU usage: 9.18% user, 22.44% sys, 68.36% idle 
SharedLibs: 239M resident, 65M data, 24M linkedit.
MemRegions: 68151 total, 3376M resident, 94M private, 623M shared.
PhysMem: 8150M used (1519M wired), 41M unused.
VM: 2500G vsize, 1313M framework vsize, 639804(0) swapins, 686930(0) swapouts.
Networks: packets: 1232368/1406M in, 906203/92M out.
Disks: 662728/12G read, 684821/11G written.

PID   COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM    PURG   CMPRS  PGRP PPID STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS   COW     MSGSENT   MSGRECV   SYSBSD    SYSMACH   CSW        PAGEINS IDLEW    POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
5610  mdworker_shared  0.0  00:00.49 4     1   59+    21M+   0B     5696K+ 5610 1    sleeping *0[1+]      0.00000 0.00000    501 15971+   193+    2171+     862+      5811+     2581+     1887+      20+     2        0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
5609  mdworker_shared  0.0  00:00.35 4     1   59+    11M+   0B     8828K+ 5609 1    sleeping *0[1+]      0.00000 0.00000    501 9406+    193+    2020+     807+      5247+     2365+     1311+      0       0        0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
5576  CoreServicesUIAg 0.0  00:00.36 3     1   182+   4972K+ 0B     2020K+ 5576 1    sleeping *0[1+]      0.00000 0.00000    501 5919+    271+    2692+     854+      7042+     7965+     4308+      6+      259      0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
5360  com.apple.WebKit 0.0  00:07.09 4     1   111+   109M+  0B     81M+   5360 1    sleeping  0[3990+]   0.00000 0.00000    501 47537+   413+    31703+    13752+    66380+    87443+    48101+     0       702      0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
5336  mdworker_shared  0.0  00:00.60 4     1   56+    14M+   0B     9764K+ 5336 1    sleeping *0[1+]      0.00000 0.00000    501 8434+    192+    3435+     1336+     9699+     4083+     2256+      0       2        0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
5333  mdworker_shared  0.0  00:00.71 4     1   59+    13M+   0B     9608K+ 5333 1    sleeping *0[1+]      0.00000 0.00000    501 35445+   193+    1246+     488+      3038+     1581+     1954+      2+      1        0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
5116  mdworker_shared  0.0  00:01.65 4     1   63+    20M+   0B     5364K+ 5116 1    sleeping *0[1+]      0.00000 0.00000    501 14700+   195+    9138+     3474+     27680+    10894+    6022+      316+    4        0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
5034  SandboxedService 0.0  00:00.03 2     1   48+    1452K+ 0B     916K+  5034 1    sleeping *0[1+]      0.00000 0.00000    501 3346+    166+    265+      103+      705+      532+      193+       4+      2        0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
5016  plugin-container 0.0  00:01.83 22    1   170+   24M+   0B     19M+   1595 1595 sleeping *0[138+]    0.00000 0.00000    501 16640+   1312+   8744+     2724+     24727+    28846+    16898+     0       1539     0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
4747  QuickLookUIServi 0.0  00:00.82 4     1   158+   5628K+ 0B     1796K+ 4747 1    sleeping  0[710+]    0.00000 0.00000    501 9865+    370+    8120+     2894+     11821+    26864+    15559+     132+    307      0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
4743  com.apple.appkit 0.0  00:03.40 4     1   244+   27M+   56K+   5072K+ 4743 1    sleeping  0[517+]    0.00000 0.00000    501 18444+   444+    25358+    9014+     40682+    54644+    28671+     117+    346      0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
4659  com.apple.speech 0.0  00:00.53 2     1   46+    14M+   0B     11M+   4659 1    sleeping *0[1+]      0.00000 0.00000    501 7359+    153+    1185+     306+      8340+     1886+     2958+      18+     1        0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
4578  MTLCompilerServi 0.0  00:00.33 2     2   24+    9300K+ 0B     4328K+ 4578 1    sleeping *0[14+]     0.00000 0.00000    501 6564+    439+    208+      59+       1860+     395+      300+       39+     0        0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
4576  MTLCompilerServi 0.0  00:00.22 2     2   24+    7844K+ 0B     3884K+ 4576 1    sleeping *0[8+]      0.00000 0.00000    501 6038+    439+    167+      49+       1211+     350+      234+       347+    0        0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
4573  com.apple.appkit 0.0  00:01.99 4     1   239+   23M+   0B     5104K+ 4573 1    sleeping  0[858+]    0.00000 0.00000    501 15498+   434+    16538+    6321+     31450+    39288+    21594+     95+     344      0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
4568  Keynote          0.0  01:12.34 4     2   301+   147M+  0B     46M+   4568 1    sleeping  0[872+]    0.00000 0.00000    501 520028+  12976+  219132+   50094+    673066+   500355+   416949+    12809+  5368     0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
4559  mdworker_shared  0.0  00:00.17 4     1   50+    11M+   0B     10M+   4559 1    sleeping *0[1+]      0.00000 0.00000    89  7434+    193+    802+      327+      1798+     997+      751+       2+      3        0.0   0      0      _spotlight         N/A    N/A   N/A   N/A   N/A   N/A  
